city,county,state,country,population,lat,long,url,cases,deaths,recovered,active,tested,growthFactor,date
,,,THA,68414135,13.04083302850006,101.54455590850003,https://github.com/CSSEGISandData/COVID-19,2,,,2,,,2020-01-22
,,,THA,68414135,13.04083302850006,101.54455590850003,https://github.com/CSSEGISandData/COVID-19,3,,,3,,1.5,2020-01-23
,,,THA,68414135,13.04083302850006,101.54455590850003,https://github.com/CSSEGISandData/COVID-19,5,,,5,,1.6666666666666667,2020-01-24
,,,THA,68414135,13.04083302850006,101.54455590850003,https://github.com/CSSEGISandData/COVID-19,7,,,7,,1.4,2020-01-25
,,,THA,68414135,13.04083302850006,101.54455590850003,https://github.com/CSSEGISandData/COVID-19,8,,2,6,,1.1428571428571428,2020-01-26
,,,THA,68414135,13.04083302850006,101.54455590850003,https://github.com/CSSEGISandData/COVID-19,8,,2,6,,1,2020-01-27
,,,THA,68414135,13.04083302850006,101.54455590850003,https://github.com/CSSEGISandData/COVID-19,14,,5,9,,1.75,2020-01-28
,,,THA,68414135,13.04083302850006,101.54455590850003,https://github.com/CSSEGISandData/COVID-19,14,,5,9,,1,2020-01-29
,,,THA,68414135,13.04083302850006,101.54455590850003,https://github.com/CSSEGISandData/COVID-19,14,,5,9,,1,2020-01-30
,,,THA,68414135,13.04083302850006,101.54455590850003,https://github.com/CSSEGISandData/COVID-19,19,,5,14,,1.3571428571428572,2020-01-31
,,,THA,68414135,13.04083302850006,101.54455590850003,https://github.com/CSSEGISandData/COVID-19,19,,5,14,,1,2020-02-01
,,,THA,68414135,13.04083302850006,101.54455590850003,https://github.com/CSSEGISandData/COVID-19,19,,5,14,,1,2020-02-02
,,,THA,68414135,13.04083302850006,101.54455590850003,https://github.com/CSSEGISandData/COVID-19,19,,5,14,,1,2020-02-03
,,,THA,68414135,13.04083302850006,101.54455590850003,https://github.com/CSSEGISandData/COVID-19,25,,5,20,,1.3157894736842106,2020-02-04
,,,THA,68414135,13.04083302850006,101.54455590850003,https://github.com/CSSEGISandData/COVID-19,25,,5,20,,1,2020-02-05
,,,THA,68414135,13.04083302850006,101.54455590850003,https://github.com/CSSEGISandData/COVID-19,25,,5,20,,1,2020-02-06
,,,THA,68414135,13.04083302850006,101.54455590850003,https://github.com/CSSEGISandData/COVID-19,25,,5,20,,1,2020-02-07
,,,THA,68414135,13.04083302850006,101.54455590850003,https://github.com/CSSEGISandData/COVID-19,32,,10,22,,1.28,2020-02-08
,,,THA,68414135,13.04083302850006,101.54455590850003,https://github.com/CSSEGISandData/COVID-19,32,,10,22,,1,2020-02-09
,,,THA,68414135,13.04083302850006,101.54455590850003,https://github.com/CSSEGISandData/COVID-19,32,,10,22,,1,2020-02-10
,,,THA,68414135,13.04083302850006,101.54455590850003,https://github.com/CSSEGISandData/COVID-19,33,,10,23,,1.03125,2020-02-11
,,,THA,68414135,13.04083302850006,101.54455590850003,https://github.com/CSSEGISandData/COVID-19,33,,10,23,,1,2020-02-12
,,,THA,68414135,13.04083302850006,101.54455590850003,https://github.com/CSSEGISandData/COVID-19,33,,12,21,,1,2020-02-13
